child_name,filename,speaker,source,model_name,model_type,n_unique_nouns_in_session,tpr_the,tpr_a,tpr_overall,n_transitions_to_the,n_transitions_to_a,n_previous_a,n_previous_the,n_maintained,n_total,tpr
Gail,./data/CHILDES/Manchester/Gail/020421.cha,child,human,Human,baseline_unrestricted,58,0.0,0.2,0.1,0,1,5,5,9,10,0.1
Gail,./data/CHILDES/Manchester/Gail/020421.cha,mother,human,Human,baseline_unrestricted,58,0.0,0.0,0.0,0,0,9,3,12,12,0.0
Gail,./data/CHILDES/Manchester/Gail/020421.cha,other_adult,human,Human,baseline_unrestricted,58,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/021105.cha,child,human,Human,baseline_unrestricted,62,0.3333333333333333,0.4,0.375,1,2,3,5,5,8,0.375
Gail,./data/CHILDES/Manchester/Gail/021105.cha,mother,human,Human,baseline_unrestricted,62,0.0,0.2857142857142857,0.2222222222222222,0,2,2,7,7,9,0.2222222222222222
Gail,./data/CHILDES/Manchester/Gail/021105.cha,other_adult,human,Human,baseline_unrestricted,62,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020025.cha,child,human,Human,baseline_unrestricted,68,0.0,0.0,0.0,0,0,1,1,2,2,0.0
Gail,./data/CHILDES/Manchester/Gail/020025.cha,mother,human,Human,baseline_unrestricted,68,0.0,,0.0,0,0,1,0,1,1,0.0
Gail,./data/CHILDES/Manchester/Gail/020025.cha,other_adult,human,Human,baseline_unrestricted,68,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020019.cha,child,human,Human,baseline_unrestricted,86,0.0,,0.0,0,0,1,0,1,1,0.0
Gail,./data/CHILDES/Manchester/Gail/020019.cha,mother,human,Human,baseline_unrestricted,86,0.0,,0.0,0,0,1,0,1,1,0.0
Gail,./data/CHILDES/Manchester/Gail/020019.cha,other_adult,human,Human,baseline_unrestricted,86,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020828.cha,child,human,Human,baseline_unrestricted,57,0.0,0.2222222222222222,0.16666666666666666,0,2,3,9,10,12,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020828.cha,mother,human,Human,baseline_unrestricted,57,0.25,0.0,0.125,1,0,4,4,7,8,0.125
Gail,./data/CHILDES/Manchester/Gail/020828.cha,other_adult,human,Human,baseline_unrestricted,57,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020904.cha,child,human,Human,baseline_unrestricted,62,0.0,0.0,0.0,0,0,1,1,2,2,0.0
Gail,./data/CHILDES/Manchester/Gail/020904.cha,mother,human,Human,baseline_unrestricted,62,,0.0,0.0,0,0,0,1,1,1,0.0
Gail,./data/CHILDES/Manchester/Gail/020904.cha,other_adult,human,Human,baseline_unrestricted,62,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020720.cha,child,human,Human,baseline_unrestricted,83,0.4,0.6666666666666666,0.5,2,2,5,3,4,8,0.5
Gail,./data/CHILDES/Manchester/Gail/020720.cha,mother,human,Human,baseline_unrestricted,83,0.0,0.0,0.0,0,0,2,4,6,6,0.0
Gail,./data/CHILDES/Manchester/Gail/020720.cha,other_adult,human,Human,baseline_unrestricted,83,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020519.cha,child,human,Human,baseline_unrestricted,93,0.0,0.25,0.125,0,1,4,4,7,8,0.125
Gail,./data/CHILDES/Manchester/Gail/020519.cha,mother,human,Human,baseline_unrestricted,93,0.0,0.5,0.16666666666666666,0,1,4,2,5,6,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020519.cha,other_adult,human,Human,baseline_unrestricted,93,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/021029.cha,child,human,Human,baseline_unrestricted,114,1.0,0.3333333333333333,0.6666666666666666,3,1,3,3,2,6,0.6666666666666666
Gail,./data/CHILDES/Manchester/Gail/021029.cha,mother,human,Human,baseline_unrestricted,114,0.0,0.2,0.125,0,1,3,5,7,8,0.125
Gail,./data/CHILDES/Manchester/Gail/021029.cha,other_adult,human,Human,baseline_unrestricted,114,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020108.cha,child,human,Human,baseline_unrestricted,99,0.0,1.0,0.5,0,1,1,1,1,2,0.5
Gail,./data/CHILDES/Manchester/Gail/020108.cha,mother,human,Human,baseline_unrestricted,99,1.0,0.0,0.3333333333333333,1,0,1,2,2,3,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020108.cha,other_adult,human,Human,baseline_unrestricted,99,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020518.cha,child,human,Human,baseline_unrestricted,78,0.0,1.0,0.3333333333333333,0,2,4,2,4,6,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020518.cha,mother,human,Human,baseline_unrestricted,78,0.25,0.0,0.18181818181818182,2,0,8,3,9,11,0.18181818181818182
Gail,./data/CHILDES/Manchester/Gail/020518.cha,other_adult,human,Human,baseline_unrestricted,78,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020929.cha,child,human,Human,baseline_unrestricted,89,1.0,0.5,0.75,2,1,2,2,1,4,0.75
Gail,./data/CHILDES/Manchester/Gail/020929.cha,mother,human,Human,baseline_unrestricted,89,0.0,0.0,0.0,0,0,2,2,4,4,0.0
Gail,./data/CHILDES/Manchester/Gail/020929.cha,other_adult,human,Human,baseline_unrestricted,89,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020925.cha,child,human,Human,baseline_unrestricted,77,0.2,0.0,0.16666666666666666,1,0,5,1,5,6,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020925.cha,mother,human,Human,baseline_unrestricted,77,0.36363636363636365,1.0,0.46153846153846156,4,2,11,2,7,13,0.46153846153846156
Gail,./data/CHILDES/Manchester/Gail/020925.cha,other_adult,human,Human,baseline_unrestricted,77,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020700.cha,child,human,Human,baseline_unrestricted,65,0.2,0.0,0.16666666666666666,1,0,5,1,5,6,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020700.cha,mother,human,Human,baseline_unrestricted,65,0.0,,0.0,0,0,5,0,5,5,0.0
Gail,./data/CHILDES/Manchester/Gail/020700.cha,other_adult,human,Human,baseline_unrestricted,65,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020310.cha,child,human,Human,baseline_unrestricted,111,0.25,0.6,0.4444444444444444,1,3,4,5,5,9,0.4444444444444444
Gail,./data/CHILDES/Manchester/Gail/020310.cha,mother,human,Human,baseline_unrestricted,111,0.1,0.2857142857142857,0.17647058823529413,1,2,10,7,14,17,0.17647058823529413
Gail,./data/CHILDES/Manchester/Gail/020310.cha,other_adult,human,Human,baseline_unrestricted,111,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/011127.cha,child,human,Human,baseline_unrestricted,103,,0.0,0.0,0,0,0,1,1,1,0.0
Gail,./data/CHILDES/Manchester/Gail/011127.cha,mother,human,Human,baseline_unrestricted,103,0.0,0.3333333333333333,0.2,0,1,2,3,4,5,0.2
Gail,./data/CHILDES/Manchester/Gail/011127.cha,other_adult,human,Human,baseline_unrestricted,103,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/021008.cha,child,human,Human,baseline_unrestricted,73,0.2857142857142857,0.0,0.2222222222222222,2,0,7,2,7,9,0.2222222222222222
Gail,./data/CHILDES/Manchester/Gail/021008.cha,mother,human,Human,baseline_unrestricted,73,0.0,0.0,0.0,0,0,13,3,16,16,0.0
Gail,./data/CHILDES/Manchester/Gail/021008.cha,other_adult,human,Human,baseline_unrestricted,73,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020115.cha,child,human,Human,baseline_unrestricted,82,0.0,0.0,0.0,0,0,3,1,4,4,0.0
Gail,./data/CHILDES/Manchester/Gail/020115.cha,mother,human,Human,baseline_unrestricted,82,0.2,0.0,0.14285714285714285,1,0,5,2,6,7,0.14285714285714285
Gail,./data/CHILDES/Manchester/Gail/020115.cha,other_adult,human,Human,baseline_unrestricted,82,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020317.cha,child,human,Human,baseline_unrestricted,71,0.25,0.5,0.3333333333333333,1,1,4,2,4,6,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020317.cha,mother,human,Human,baseline_unrestricted,71,0.5714285714285714,0.3333333333333333,0.5,4,1,7,3,5,10,0.5
Gail,./data/CHILDES/Manchester/Gail/020317.cha,other_adult,human,Human,baseline_unrestricted,71,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020303.cha,child,human,Human,baseline_unrestricted,90,0.0,0.0,0.0,0,0,2,1,3,3,0.0
Gail,./data/CHILDES/Manchester/Gail/020303.cha,mother,human,Human,baseline_unrestricted,90,0.5,0.2,0.2857142857142857,1,1,2,5,5,7,0.2857142857142857
Gail,./data/CHILDES/Manchester/Gail/020303.cha,other_adult,human,Human,baseline_unrestricted,90,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020713.cha,child,human,Human,baseline_unrestricted,57,0.3333333333333333,0.0,0.2,1,0,3,2,4,5,0.2
Gail,./data/CHILDES/Manchester/Gail/020713.cha,mother,human,Human,baseline_unrestricted,57,0.25,,0.25,1,0,4,0,3,4,0.25
Gail,./data/CHILDES/Manchester/Gail/020713.cha,other_adult,human,Human,baseline_unrestricted,57,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020205.cha,child,human,Human,baseline_unrestricted,101,0.6666666666666666,0.5,0.6,2,1,3,2,2,5,0.6
Gail,./data/CHILDES/Manchester/Gail/020205.cha,mother,human,Human,baseline_unrestricted,101,0.5,0.0,0.2,1,0,2,3,4,5,0.2
Gail,./data/CHILDES/Manchester/Gail/020205.cha,other_adult,human,Human,baseline_unrestricted,101,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020005.cha,child,human,Human,baseline_unrestricted,80,,0.0,0.0,0,0,0,2,2,2,0.0
Gail,./data/CHILDES/Manchester/Gail/020005.cha,mother,human,Human,baseline_unrestricted,80,0.0,0.0,0.0,0,0,2,2,4,4,0.0
Gail,./data/CHILDES/Manchester/Gail/020005.cha,other_adult,human,Human,baseline_unrestricted,80,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020616.cha,child,human,Human,baseline_unrestricted,69,0.0,,0.0,0,0,6,0,6,6,0.0
Gail,./data/CHILDES/Manchester/Gail/020616.cha,mother,human,Human,baseline_unrestricted,69,0.2222222222222222,0.0,0.2,2,0,9,1,8,10,0.2
Gail,./data/CHILDES/Manchester/Gail/020616.cha,other_adult,human,Human,baseline_unrestricted,69,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020414.cha,child,human,Human,baseline_unrestricted,85,0.0,0.6666666666666666,0.16666666666666666,0,2,9,3,10,12,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020414.cha,mother,human,Human,baseline_unrestricted,85,0.0,0.0,0.0,0,0,7,1,8,8,0.0
Gail,./data/CHILDES/Manchester/Gail/020414.cha,other_adult,human,Human,baseline_unrestricted,85,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020428.cha,child,human,Human,baseline_unrestricted,71,0.3333333333333333,,0.3333333333333333,1,0,3,0,2,3,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020428.cha,mother,human,Human,baseline_unrestricted,71,0.125,0.5,0.2,1,1,8,2,8,10,0.2
Gail,./data/CHILDES/Manchester/Gail/020428.cha,other_adult,human,Human,baseline_unrestricted,71,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020212.cha,child,human,Human,baseline_unrestricted,113,0.0,0.6666666666666666,0.3333333333333333,0,2,3,3,4,6,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020212.cha,mother,human,Human,baseline_unrestricted,113,0.36363636363636365,1.0,0.4166666666666667,4,1,11,1,7,12,0.4166666666666667
Gail,./data/CHILDES/Manchester/Gail/020212.cha,other_adult,human,Human,baseline_unrestricted,113,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020407.cha,child,human,Human,baseline_unrestricted,57,0.0,0.0,0.0,0,0,4,1,5,5,0.0
Gail,./data/CHILDES/Manchester/Gail/020407.cha,mother,human,Human,baseline_unrestricted,57,0.2,0.0,0.16666666666666666,1,0,5,1,5,6,0.16666666666666666
Gail,./data/CHILDES/Manchester/Gail/020407.cha,other_adult,human,Human,baseline_unrestricted,57,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020620.cha,child,human,Human,baseline_unrestricted,75,0.25,0.5,0.3333333333333333,1,1,4,2,4,6,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/020620.cha,mother,human,Human,baseline_unrestricted,75,0.4,0.0,0.3333333333333333,2,0,5,1,4,6,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/020620.cha,other_adult,human,Human,baseline_unrestricted,75,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020230.cha,child,human,Human,baseline_unrestricted,61,0.25,0.6666666666666666,0.42857142857142855,1,2,4,3,4,7,0.42857142857142855
Dominic,./data/CHILDES/Manchester/Dominic/020230.cha,mother,human,Human,baseline_unrestricted,61,0.16666666666666666,0.0,0.14285714285714285,1,0,6,1,6,7,0.14285714285714285
Dominic,./data/CHILDES/Manchester/Dominic/020230.cha,other_adult,human,Human,baseline_unrestricted,61,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020021.cha,child,human,Human,baseline_unrestricted,84,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020021.cha,mother,human,Human,baseline_unrestricted,84,0.0,,0.0,0,0,1,0,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020021.cha,other_adult,human,Human,baseline_unrestricted,84,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020425.cha,child,human,Human,baseline_unrestricted,38,0.0,0.3333333333333333,0.2,0,1,2,3,4,5,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020425.cha,mother,human,Human,baseline_unrestricted,38,,0.0,0.0,0,0,0,1,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020425.cha,other_adult,human,Human,baseline_unrestricted,38,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020800.cha,child,human,Human,baseline_unrestricted,63,0.0,,0.0,0,0,9,0,9,9,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020800.cha,mother,human,Human,baseline_unrestricted,63,0.08333333333333333,0.0,0.07692307692307693,1,0,12,1,12,13,0.07692307692307693
Dominic,./data/CHILDES/Manchester/Dominic/020800.cha,other_adult,human,Human,baseline_unrestricted,63,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020829.cha,child,human,Human,baseline_unrestricted,54,0.25,,0.25,1,0,4,0,3,4,0.25
Dominic,./data/CHILDES/Manchester/Dominic/020829.cha,mother,human,Human,baseline_unrestricted,54,0.0,1.0,0.2,0,1,4,1,4,5,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020829.cha,other_adult,human,Human,baseline_unrestricted,54,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020209.cha,child,human,Human,baseline_unrestricted,54,1.0,0.0,0.5,1,0,1,1,1,2,0.5
Dominic,./data/CHILDES/Manchester/Dominic/020209.cha,mother,human,Human,baseline_unrestricted,54,0.0,0.5,0.3333333333333333,0,1,1,2,2,3,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/020209.cha,other_adult,human,Human,baseline_unrestricted,54,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020508.cha,child,human,Human,baseline_unrestricted,68,0.0,0.0,0.0,0,0,2,1,3,3,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020508.cha,mother,human,Human,baseline_unrestricted,68,0.0,,0.0,0,0,2,0,2,2,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020508.cha,other_adult,human,Human,baseline_unrestricted,68,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020119.cha,child,human,Human,baseline_unrestricted,43,0.0,0.0,0.0,0,0,3,1,4,4,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020119.cha,mother,human,Human,baseline_unrestricted,43,0.6666666666666666,0.0,0.5,2,0,3,1,2,4,0.5
Dominic,./data/CHILDES/Manchester/Dominic/020119.cha,other_adult,human,Human,baseline_unrestricted,43,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020126.cha,child,human,Human,baseline_unrestricted,29,,0.0,0.0,0,0,0,2,2,2,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020126.cha,mother,human,Human,baseline_unrestricted,29,,0.0,0.0,0,0,0,2,2,2,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020126.cha,other_adult,human,Human,baseline_unrestricted,29,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020522.cha,child,human,Human,baseline_unrestricted,79,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020522.cha,mother,human,Human,baseline_unrestricted,79,0.0,,0.0,0,0,4,0,4,4,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020522.cha,other_adult,human,Human,baseline_unrestricted,79,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020724.cha,child,human,Human,baseline_unrestricted,51,0.14285714285714285,0.3333333333333333,0.2,1,1,7,3,8,10,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020724.cha,mother,human,Human,baseline_unrestricted,51,0.16666666666666666,0.25,0.2,1,1,6,4,8,10,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020724.cha,other_adult,human,Human,baseline_unrestricted,51,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/021016.cha,child,human,Human,baseline_unrestricted,59,0.0,1.0,0.3333333333333333,0,2,4,2,4,6,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/021016.cha,mother,human,Human,baseline_unrestricted,59,0.5,,0.5,3,0,6,0,3,6,0.5
Dominic,./data/CHILDES/Manchester/Dominic/021016.cha,other_adult,human,Human,baseline_unrestricted,59,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/021002.cha,child,human,Human,baseline_unrestricted,59,0.25,0.0,0.2,1,0,4,1,4,5,0.2
Dominic,./data/CHILDES/Manchester/Dominic/021002.cha,mother,human,Human,baseline_unrestricted,59,0.5,0.0,0.3333333333333333,3,0,6,3,6,9,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/021002.cha,other_adult,human,Human,baseline_unrestricted,59,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/011117.cha,child,human,Human,baseline_unrestricted,79,0.0,,0.0,0,0,1,0,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/011117.cha,mother,human,Human,baseline_unrestricted,79,0.0,0.0,0.0,0,0,1,1,2,2,0.0
Dominic,./data/CHILDES/Manchester/Dominic/011117.cha,other_adult,human,Human,baseline_unrestricted,79,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/011100.cha,child,human,Human,baseline_unrestricted,64,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/011100.cha,mother,human,Human,baseline_unrestricted,64,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/011100.cha,other_adult,human,Human,baseline_unrestricted,64,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020717.cha,child,human,Human,baseline_unrestricted,67,0.2,0.5,0.2857142857142857,1,1,5,2,5,7,0.2857142857142857
Dominic,./data/CHILDES/Manchester/Dominic/020717.cha,mother,human,Human,baseline_unrestricted,67,0.25,0.6666666666666666,0.42857142857142855,1,2,4,3,4,7,0.42857142857142855
Dominic,./data/CHILDES/Manchester/Dominic/020717.cha,other_adult,human,Human,baseline_unrestricted,67,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020703.cha,child,human,Human,baseline_unrestricted,61,0.25,0.25,0.25,1,1,4,4,6,8,0.25
Dominic,./data/CHILDES/Manchester/Dominic/020703.cha,mother,human,Human,baseline_unrestricted,61,0.5,0.0,0.42857142857142855,3,0,6,1,4,7,0.42857142857142855
Dominic,./data/CHILDES/Manchester/Dominic/020703.cha,other_adult,human,Human,baseline_unrestricted,61,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020529.cha,child,human,Human,baseline_unrestricted,54,1.0,0.0,0.3333333333333333,1,0,1,2,2,3,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/020529.cha,mother,human,Human,baseline_unrestricted,54,0.0,,0.0,0,0,1,0,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020529.cha,other_adult,human,Human,baseline_unrestricted,54,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020501.cha,child,human,Human,baseline_unrestricted,69,0.0,,0.0,0,0,1,0,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020501.cha,mother,human,Human,baseline_unrestricted,69,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020501.cha,other_adult,human,Human,baseline_unrestricted,69,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020111.cha,child,human,Human,baseline_unrestricted,49,,0.0,0.0,0,0,0,1,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020111.cha,mother,human,Human,baseline_unrestricted,49,,0.0,0.0,0,0,0,1,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020111.cha,other_adult,human,Human,baseline_unrestricted,49,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/011124.cha,child,human,Human,baseline_unrestricted,58,0.0,0.0,0.0,0,0,2,1,3,3,0.0
Dominic,./data/CHILDES/Manchester/Dominic/011124.cha,mother,human,Human,baseline_unrestricted,58,0.0,,0.0,0,0,1,0,1,1,0.0
Dominic,./data/CHILDES/Manchester/Dominic/011124.cha,other_adult,human,Human,baseline_unrestricted,58,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020919.cha,child,human,Human,baseline_unrestricted,75,0.0,1.0,0.2,0,3,12,3,12,15,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020919.cha,mother,human,Human,baseline_unrestricted,75,0.36363636363636365,,0.36363636363636365,8,0,22,0,14,22,0.36363636363636365
Dominic,./data/CHILDES/Manchester/Dominic/020919.cha,other_adult,human,Human,baseline_unrestricted,75,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020926.cha,child,human,Human,baseline_unrestricted,72,0.0,0.0,0.0,0,0,9,1,10,10,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020926.cha,mother,human,Human,baseline_unrestricted,72,0.0,0.0,0.0,0,0,10,1,11,11,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020926.cha,other_adult,human,Human,baseline_unrestricted,72,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020328.cha,child,human,Human,baseline_unrestricted,77,0.0,0.75,0.23076923076923078,0,3,9,4,10,13,0.23076923076923078
Dominic,./data/CHILDES/Manchester/Dominic/020328.cha,mother,human,Human,baseline_unrestricted,77,0.21428571428571427,0.0,0.2,3,0,14,1,12,15,0.2
Dominic,./data/CHILDES/Manchester/Dominic/020328.cha,other_adult,human,Human,baseline_unrestricted,77,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020314.cha,child,human,Human,baseline_unrestricted,71,0.0,0.0,0.0,0,0,2,1,3,3,0.0
Dominic,./data/CHILDES/Manchester/Dominic/020314.cha,mother,human,Human,baseline_unrestricted,71,0.3333333333333333,,0.3333333333333333,1,0,3,0,2,3,0.3333333333333333
Dominic,./data/CHILDES/Manchester/Dominic/020314.cha,other_adult,human,Human,baseline_unrestricted,71,,,,0,0,0,0,0,0,
Dominic,./data/CHILDES/Manchester/Dominic/020007.cha,child,human,Human,baseline_unrestricted,64,0.5,,0.5,1,0,2,0,1,2,0.5
